,channel,title,description,pub_date,mp3_url,episode_url
362116,Ari Ari,ありっちゃありスパーク・マシュ059「食べたことない寿司ネタを食べる日」,好きで埋め尽くす、その前に。,2022-09-12,https://omocoro.heteml.net/radio/arimasyu/059/059mash.mp3,https://omocoro.jp/radio/362116/
360093,Ari Ari,ありっちゃありスパーク・マシュ058「室木おすし、健康一本道」,絶対に疑ってください！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,2022-09-05,https://omocoro.heteml.net/radio/arimasyu/058/058mash.mp3,https://omocoro.jp/radio/360093/
358050,Ari Ari,ありっちゃありスパーク・マシュ057「大磯ロングビーチで、人はお金じゃなく秩序が好きなんだと知った」,よくも悪くもある、Googleに全てを知られている僕たち私たち,2022-08-29,https://omocoro.heteml.net/radio/arimasyu/057/mash057.mp3,https://omocoro.jp/radio/358050/
357250,Ari Ari,ありっちゃありスパーク・マシュ056「父、海上アスレチックにて」,意外と親も追い込まれる。子供とのアスレチック。,2022-08-22,https://omocoro.heteml.net/radio/arimasyu/056/mash056.mp3,https://omocoro.jp/radio/357250/
355531,Ari Ari,ありっちゃありスパーク・マシュ055「水風呂営業・かぶり水・急速冷却ボックスってどう？」,いっそ水風呂だけの銭湯に入りたい,2022-08-08,https://omocoro.heteml.net/radio/arimasyu/055/mash055.mp3,https://omocoro.jp/radio/355531/
354928,Ari Ari,ありっちゃありスパーク・マシュ054「娘が熱出したら全方位的にしょうがないよねリモート回」,思いつかないのはまだ集めてないからかもしれない,2022-08-01,https://omocoro.heteml.net/radio/arimasyu/054/mash054.mp3,https://omocoro.jp/radio/354928/
354005,Ari Ari,ありっちゃありスパーク・マシュ053「脱水注意報」,やばいと思った時は確実にやばい,2022-07-25,https://omocoro.heteml.net/radio/arimasyu/053/053mash.mp3,https://omocoro.jp/radio/354005/
353079,Ari Ari,ありっちゃありスパーク・マシュ052「アクション。原宿が篠田ゆうをフォローした日」,セクシー女優をフォローするということ,2022-07-18,https://omocoro.heteml.net/radio/arimasyu/052/mash052.mp3,https://omocoro.jp/radio/353079/
352120,Ari Ari,ありっちゃありスパーク・マシュ051「できないを見つめる。『ニシダ更生プログラム』を見て」,山ちゃんみたいに薫陶したい。,2022-07-11,https://omocoro.heteml.net/radio/arimasyu/051/mash051.mp3,https://omocoro.jp/radio/352120/
351174,Ari Ari,ありっちゃありスパーク・マシュ050「『もういいよ』と言われても、サウナの話をしてしまう男たち」,湯島のプライベートサウナ「RED」に行ってきました。,2022-07-04,https://omocoro.heteml.net/radio/arimasyu/050/mash050.mp3,https://omocoro.jp/radio/351174/
350291,Ari Ari,ありっちゃありスパーク・マシュ049「【とりとめなき回】待つことも力」,たまるまで待っている期間も大事よね,2022-06-27,https://omocoro.heteml.net/radio/arimasyu/049/049mash.mp3,https://omocoro.jp/radio/350291/
349447,Ari Ari,ありっちゃありスパーク・マシュ048「エントリー、流行り始めてない？」,完全にブームがやってきました,2022-06-20,https://omocoro.heteml.net/radio/arimasyu/048/048mash.mp3,https://omocoro.jp/radio/349447/
348298,Ari Ari,ありっちゃありスパーク・マシュ047「いる人をたくさん読む色片思い♡」,長寿コーナー「いる人」をビシバシ読んでいきます,2022-06-13,https://omocoro.heteml.net/radio/arimasyu/047/047mash.mp3,https://omocoro.jp/radio/348298/
347191,Ari Ari,ありっちゃありスパーク・マシュ046「汚れた話を浄化せよ！う◯ちVS美しき音色」,あの事件、うんちおしっこスペシャル,2022-06-06,https://omocoro.heteml.net/radio/arimasyu/046/046mash.mp3,https://omocoro.jp/radio/347191/
346641,Ari Ari,ありっちゃありスパーク・マシュ045「サウナしきじは本物だった」,サウナってこういうことだったのかよ,2022-05-30,https://omocoro.heteml.net/radio/arimasyu/045/045mash.mp3,https://omocoro.jp/radio/346641/
345563,Ari Ari,ありっちゃありスパーク・マシュ044「ヤマザキビスケットのレモンパックは軽んじられている」,ヤマザキビスケット、評価されてなさすぎ問題,2022-05-23,https://omocoro.heteml.net/radio/arimasyu/044/044mash.mp3,https://omocoro.jp/radio/345563/
344728,Ari Ari,ありっちゃありスパーク・マシュ043「東京の真ん中でサウナに入ることの限界」,ととのいタコ部屋サウナ限界地帯,2022-05-16,https://omocoro.heteml.net/radio/arimasyu/043/043mash.mp3,https://omocoro.jp/radio/344728/
343381,Ari Ari,ありっちゃありスパーク・マシュ042「麻薬卵と呼びたくない男の主張」,原宿がグダグダと言い訳をする回,2022-05-09,https://omocoro.heteml.net/radio/arimasyu/042/042mash.mp3,https://omocoro.jp/radio/343381/
342575,Ari Ari,ありっちゃありスパーク・マシュ041「ヤマザキビスケットは軽んじられている」,ヤマザキのお菓子、実はかなり美味いんです,2022-05-02,https://omocoro.heteml.net/radio/arimasyu/041/041mash.mp3,https://omocoro.jp/radio/342575/
341215,Ari Ari,ありっちゃありスパーク・マシュ040「娘とピアノ連弾をした男と、大相撲5月場所の展望」,大相撲、5月場所も荒れるかも！？,2022-04-25,https://omocoro.heteml.net/radio/arimasyu/040/040mash.mp3,https://omocoro.jp/radio/341215/
340029,Ari Ari,ありっちゃありスパーク・マシュ039「大相撲で新スターが誕生している件」,大相撲、今、見どきらしいです。,2022-04-18,https://omocoro.heteml.net/radio/arimasyu/039/039mash.mp3,https://omocoro.jp/radio/340029/
339512,Ari Ari,ありっちゃありスパーク・マシュ038「新コーナー？ 帰路に見上げた空」,誰の胸にも眠る、それがリトル後悔。,2022-04-11,https://omocoro.heteml.net/radio/arimasyu/038/038mash.mp3,https://omocoro.jp/radio/339512/
338320,Ari Ari,ありっちゃありスパーク・マシュ037「広い公園ってすごい説」,広さ＝面白さ時代の到来です。,2022-04-04,https://omocoro.heteml.net/radio/arimasyu/037/037mash.mp3,https://omocoro.jp/radio/338320/
337305,Ari Ari,ありっちゃありスパーク・マシュ036「Twitterで3万いいねのキムチ一位」,バズったキムチは本当にうまいのか？,2022-03-28,https://omocoro.heteml.net/radio/arimasyu/036/036mash.mp3,https://omocoro.jp/radio/337305/
336495,Ari Ari,ありっちゃありスパーク・マシュ035「オムライス事変、または永遠に100にならないということ」,厄除けってやっぱり意味ありました,2022-03-21,https://omocoro.heteml.net/radio/arimasyu/035/035mash.mp3,https://omocoro.jp/radio/336495/
334919,Ari Ari,ありっちゃありスパーク・マシュ034「現実を書き換えるもの、仏教とスパイダーマン」,厄除けってやっぱり意味ありました,2022-03-14,https://omocoro.heteml.net/radio/arimasyu/034/034mash.mp3,https://omocoro.jp/radio/334919/
333846,Ari Ari,ありっちゃありスパーク・マシュ033「モスキート音と稲川淳二事件」,あの事件にいい循環が生まれている最近,2022-03-07,https://omocoro.heteml.net/radio/arimasyu/033/033mash.mp3,https://omocoro.jp/radio/333846/
332430,Ari Ari,ありっちゃありスパーク・マシュ032「いる人マシンガンをぶっ放せ」,ミスチルの「マシンガンをぶっ放せ」で「だいべん」って言ってる問題,2022-02-28,https://omocoro.heteml.net/radio/arimasyu/032/032mash.mp3,https://omocoro.jp/radio/332430/
331262,Ari Ari,ありっちゃありスパーク・マシュ031「ゲットナビのスキレット事件」,目玉焼き、それでいいのか。,2022-02-21,https://omocoro.heteml.net/radio/arimasyu/031/031mash.mp3,https://omocoro.jp/radio/331262/
330187,Ari Ari,ありっちゃありスパーク・マシュ030「大激論！踊るポンポコリンの歌詞で面白いのは1番か2番か！」,インチキおじさんとお笑い芸人、面白いのはDOTCH！？,2022-02-14,https://omocoro.heteml.net/radio/arimasyu/030/030mash.mp3,https://omocoro.jp/radio/330187/
329377,Ari Ari,ありっちゃありスパーク・マシュ029「イベントは生き物」,何も言い表してない言葉を言ってしまう時,2022-02-07,https://omocoro.heteml.net/radio/arimasyu/029/029mash.mp3,https://omocoro.jp/radio/329377/
328557,Ari Ari,ありっちゃありスパーク・マシュ028「ハウス・オブ・グッチと、仕組みのために生きちゃう人生」,完全に自分のために生きるなどできないのか,2022-01-31,https://omocoro.heteml.net/radio/arimasyu/028/028mash.mp3,https://omocoro.jp/radio/328557/
328046,Ari Ari,ありっちゃありスパーク・マシュ027「今日から新シリーズ突入！レンタルスペース編！」,室木おすしの作業場、消失！,2022-01-24,https://omocoro.heteml.net/radio/arimasyu/027/mash027.mp3,https://omocoro.jp/radio/328046/
327358,Ari Ari,ありっちゃありスパーク・マシュ026「ホットサンドを愛するということ」,2022年！焼くぞ！ホットサンドを！,2022-01-17,https://omocoro.heteml.net/radio/arimasyu/026/026mash.mp3,https://omocoro.jp/radio/327358/
326312,Ari Ari,ありっちゃありスパーク・マシュ025「新春！ホットサンド・レディオ」,2022年！焼くぞ！ホットサンドを！,2022-01-10,https://omocoro.heteml.net/radio/arimasyu/025/mash025.mp3,https://omocoro.jp/radio/326312/
325145,Ari Ari,ありっちゃありスパーク・マシュ024「チ◯ポストリーム2021」,今年も懲りずにお届けしました。,2021-12-27,https://omocoro.heteml.net/radio/arimasyu/024/024mash.mp3,https://omocoro.jp/radio/325145/
323538,Ari Ari,ありっちゃありスパーク・マシュ023「人類のゴール、ららぽーと」,ららぽーとの椅子に座る、それが人類の願いだった。,2021-12-20,https://omocoro.heteml.net/radio/arimasyu/023/023mash.mp3,https://omocoro.jp/radio/323538/
322863,Ari Ari,ありっちゃありスパーク・マシュ022「小6の精神を取り戻せ」,なんかドライになる前の青春。,2021-12-13,https://omocoro.heteml.net/radio/arimasyu/022/022mash.mp3,https://omocoro.jp/radio/322863/
322159,Ari Ari,ありっちゃありスパーク・マシュ021「アバランチ・ファーザー」,おすしのファーザー化が深刻。,2021-12-06,https://omocoro.heteml.net/radio/arimasyu/021/021mash.mp3,https://omocoro.jp/radio/322159/
320769,Ari Ari,ありっちゃありスパーク・マシュ020「遅来（ちくる）の時代、始まりました」,おっちょこちょいレースってなに？,2021-11-29,https://omocoro.heteml.net/radio/arimasyu/020/020mash.mp3,https://omocoro.jp/radio/320769/
319208,Ari Ari,ありっちゃありスパーク・マシュ019「最終章直前！ 棒ネコを読んで欲しいけど、とりとめがなくなった回」,作者自ら「貴重な棒を持つネコ」を語る！そしてよくわからなくなる！,2021-11-22,https://omocoro.heteml.net/radio/arimasyu/019/019mash.mp3,https://omocoro.jp/radio/319208/
318284,Ari Ari,ありっちゃありスパーク・マシュ018「吉本新喜劇を全身で楽しむ娘たち」,幼い頃の吉本新喜劇はエンタメのジェットコースターだ,2021-11-15,https://omocoro.heteml.net/radio/arimasyu/018/018mash.mp3,https://omocoro.jp/radio/318284/
317387,Ari Ari,ありっちゃありスパーク・マシュ017「麒麟・川島さんのキムチ一位」,ありスパ以外にもキムチ一位をやっている人がいた！？,2021-11-08,https://omocoro.heteml.net/radio/arimasyu/017/017mash.mp3,https://omocoro.jp/radio/317387/
316462,Ari Ari,ありっちゃありスパーク・マシュ016「すごい酒飲んだ次の日、めっちゃ晴れてる説」,本当に好きがあれば大丈夫なのか？,2021-11-01,https://omocoro.heteml.net/radio/arimasyu/016/016mash.mp3,https://omocoro.jp/radio/316462/
314840,Ari Ari,ありっちゃありスパーク・マシュ015「【40歳のディズニーラジオ】ミラコさせていただきましたっ！」,ソアリン最高！！！！！！！！！！！！！！！！,2021-10-25,https://omocoro.heteml.net/radio/arimasyu/015/015mash.mp3,https://omocoro.jp/radio/314840/
313230,Ari Ari,ありっちゃありスパーク・マシュ014「脳に操られている者たちのラジオ」,俺たちは脳にとって都合のいいものを見せられて生きている,2021-10-18,https://omocoro.heteml.net/radio/arimasyu/014/014mash.mp3,https://omocoro.jp/radio/313230/
312196,Ari Ari,ありっちゃありスパーク・マシュ013「キングオブコントの感想は老いの始まり」,キングオブコントの気になったネタについて,2021-10-11,https://omocoro.heteml.net/radio/arimasyu/013/013mash.mp3,https://omocoro.jp/radio/312196/
311119,Ari Ari,ありっちゃありスパーク・マシュ012「うんスジ通らせていただきます」,これにて一便落着！,2021-10-04,https://omocoro.heteml.net/radio/arimasyu/012/012mash.mp3,https://omocoro.jp/radio/311119/
309808,Ari Ari,ありっちゃありスパーク・マシュ011「ベストネーム2021」,今夜決定！最高の芸能人の名前！,2021-09-27,https://omocoro.heteml.net/radio/arimasyu/011/011mash.mp3,https://omocoro.jp/radio/309808/
309220,Ari Ari,ありっちゃありスパーク・マシュ010「ラビリンス　～迷宮～」,ある日突然迷い込む、それがラビリンス,2021-09-20,https://omocoro.heteml.net/radio/arimasyu/010/010mash.mp3,https://omocoro.jp/radio/309220/
